Pair,Parameter,Estimate,Std. Error,t-value,P-value,ModelGroup,Equation
CNYPHP_RET,intercepts_L0_mean,-0.0014249037396646,0.0143628210830215,-0.0992077901289942,0.9209732897462758,hybrid_arima_mlp,
CNYPHP_RET,intercepts_L1_mean,-0.1902799806691148,0.001,-190.2799806691148,0.0,hybrid_arima_mlp,
JPYPHP_RET,coefs_L0_mean,-0.0092761287390509,0.014512391552658,-0.6391867739643466,0.5227014351283847,hybrid_arima_mlp,
JPYPHP_RET,coefs_L1_mean,0.0301236927390659,0.0133094058485966,2.2633386555149766,0.0236148211308098,hybrid_arima_mlp,
JPYPHP_RET,intercepts_L0_mean,0.0021144374956282,0.0143223415086143,0.1476321099002211,0.8826331127281433,hybrid_arima_mlp,
JPYPHP_RET,intercepts_L1_mean,-0.1891750392124539,0.001,-189.17503921245392,0.0,hybrid_arima_mlp,
HKDPHP_RET,coefs_L0_mean,-0.0209824023573302,0.0165231289854598,-1.2698806851773976,0.2041271342257011,hybrid_arima_mlp,
HKDPHP_RET,coefs_L1_mean,0.0331036708103905,0.0148724232480625,2.225842437257354,0.026024737157564,hybrid_arima_mlp,
HKDPHP_RET,intercepts_L0_mean,0.0007043326792972,0.0143373582183022,0.0491256944670665,0.9608191269007528,hybrid_arima_mlp,
HKDPHP_RET,intercepts_L1_mean,-0.1884754371929112,0.001,-188.47543719291127,0.0,hybrid_arima_mlp,
SGDPHP_RET,coefs_L0_mean,-0.0224838028068935,0.0161645279679027,-1.3909346967346488,0.1642452301910208,hybrid_arima_mlp,
SGDPHP_RET,coefs_L1_mean,0.0230065619226066,0.015425156645954,1.4914961611518665,0.135831278334216,hybrid_arima_mlp,
SGDPHP_RET,intercepts_L0_mean,0.003485097633985,0.0143810749609103,0.24233916056053,0.8085173721834211,hybrid_arima_mlp,
SGDPHP_RET,intercepts_L1_mean,-0.1851384017341771,0.001,-185.1384017341771,0.0,hybrid_arima_mlp,
USDPHP_RET,intercept_mean,0.2524867630395042,0.0252486763039504,10.0,1.523970604832094e-23,hybrid_arima_svr,
USDPHP_RET,dual_coef_mean,-4.863399970979467e-18,0.0260481706338016,-1.8670792814403771e-16,1.0,hybrid_arima_svr,
