Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
CNYPHP_RET,hybrid_var_svr,baseline_rw,mse,test,-1.4815949590814523,0.13919438649159255,423,False,-0.5367130806248374,0.5917534205933594,416,False,True
CNYPHP_RET,hybrid_varx_mlp,baseline_ar1,mse,test,-2.1183987788222614,0.03472515420162958,423,True,-2.1422945866427363,0.03275108297152651,416,True,True
CNYPHP_RET,hybrid_varx_mlp,baseline_mean,mse,test,-2.2573377057295234,0.024497476600877865,423,True,-2.2371041517698393,0.02580981482202982,416,True,True
CNYPHP_RET,hybrid_varx_mlp,baseline_rw,mse,test,-2.253586815587316,0.024734706468700685,423,True,-2.238181079437786,0.02573893842009478,416,True,True
CNYPHP_RET,hybrid_varx_svr,baseline_ar1,mse,test,-1.7109892860363303,0.0878179548181317,423,False,-1.0673949334387505,0.2864140618425206,416,False,True
CNYPHP_RET,hybrid_varx_svr,baseline_mean,mse,test,-2.00799920981949,0.04528021548301053,423,True,-1.6943509689545588,0.090948850317081,416,False,False
CNYPHP_RET,hybrid_varx_svr,baseline_rw,mse,test,-2.0056560208569363,0.045530852415791134,423,True,-1.6993138576995492,0.09000944660632082,416,False,False
CNYPHP_RET,var,baseline_ar1,mse,test,-1.3143466943758428,0.18944348361974406,423,False,-0.3140237890779537,0.753660762474293,416,False,True
CNYPHP_RET,var,baseline_mean,mse,test,-2.194667922710557,0.028731635244861664,423,True,-1.5998126685014942,0.11039929541562254,417,False,False
CNYPHP_RET,var,baseline_rw,mse,test,-2.187640801775025,0.029243711881841605,423,True,-1.6022619003381056,0.10985671371219174,417,False,False
CNYPHP_RET,varx,baseline_ar1,mse,test,-2.744592259400907,0.006317207757158494,423,True,-2.028882397854066,0.043108180310533095,416,True,True
CNYPHP_RET,varx,baseline_mean,mse,test,-2.711602022613516,0.006969376266312777,423,True,-2.4035189684986924,0.016674860884145604,417,True,True
CNYPHP_RET,varx,baseline_rw,mse,test,-2.701945820541304,0.007171426076060694,423,True,-2.40232650733958,0.016728556095420233,417,True,True
HKDPHP_RET,hybrid_arima_svr,arima,mse,test,-1.853139405044742,0.06456021361656306,423,False,-1.2454029675557534,0.21369148485033151,413,False,True
HKDPHP_RET,hybrid_arima_mlp,arima,mse,test,-1.9561499304556709,0.051106771240261306,423,False,-1.8034496595421299,0.07204803661812265,413,False,True
HKDPHP_RET,hybrid_var_svr,var,mse,test,-1.708765237439172,0.08822971847348793,423,False,-0.9473460343305722,0.34401913298811193,412,False,True
HKDPHP_RET,hybrid_var_mlp,var,mse,test,-1.8838078753362304,0.060278244655197266,423,False,-1.5531162109363978,0.12116130939789227,414,False,True
HKDPHP_RET,arima,baseline_ar1,mse,test,-2.502221105998458,0.012719096788502693,423,True,-1.6166460968181144,0.10671638556993068,415,False,False
HKDPHP_RET,arima,baseline_mean,mse,test,-2.6124657030153617,0.009310009599788893,423,True,-1.5630463866818325,0.11880943655976028,413,False,False
HKDPHP_RET,arima,baseline_rw,mse,test,-2.5947903891395785,0.009794521401700784,423,True,-1.5576371240455602,0.12008708333667961,413,False,False
HKDPHP_RET,arimax,baseline_ar1,mse,test,-4.937314361658308,1.1428859463258334e-06,423,True,-5.440962155819309,9.099054665284712e-08,414,True,True
HKDPHP_RET,arimax,baseline_mean,mse,test,-3.6310010081252284,0.00031701677890905167,423,True,-3.9774653809847353,8.230755569282877e-05,412,True,True
HKDPHP_RET,arimax,baseline_rw,mse,test,-3.6083111804866657,0.0003451493752038015,423,True,-3.9675441338995534,8.567638837964076e-05,412,True,True
HKDPHP_RET,hybrid_arima_mlp,baseline_ar1,mse,test,-2.173390807306393,0.030306366729585532,423,True,-2.249420812345547,0.025013061225948485,413,True,True
HKDPHP_RET,hybrid_arima_mlp,baseline_mean,mse,test,-2.3172943978051856,0.020965432537157547,423,True,-1.8582030683049244,0.06385671464093767,411,False,False
HKDPHP_RET,hybrid_arima_mlp,baseline_rw,mse,test,-2.309432556974262,0.021401632992509523,423,True,-1.860316722172991,0.06355653027107744,411,False,False
HKDPHP_RET,hybrid_arima_svr,baseline_ar1,mse,test,-2.0326875396296913,0.04270965308123231,423,True,-1.6068985087269991,0.1088427168832764,413,False,False
HKDPHP_RET,hybrid_arima_svr,baseline_mean,mse,test,-2.2330671123795454,0.02606815910653637,423,True,-1.4295320305393577,0.15361288223556135,411,False,False
HKDPHP_RET,hybrid_arima_svr,baseline_rw,mse,test,-2.226338999276842,0.02651874927881437,423,True,-1.4264009790604968,0.15451363038883814,411,False,False
HKDPHP_RET,hybrid_arimax_mlp,baseline_ar1,mse,test,-3.049635656225556,0.002435532805031837,423,True,-4.0066176188023155,7.3091096700173e-05,413,True,True
HKDPHP_RET,hybrid_arimax_mlp,baseline_mean,mse,test,-2.85068329240343,0.004576501189165194,423,True,-3.505099559784244,0.0005067855872789018,411,True,True
HKDPHP_RET,hybrid_arimax_mlp,baseline_rw,mse,test,-2.8407194988296185,0.004719124254362939,423,True,-3.496322767518033,0.000523247923598591,411,True,True
HKDPHP_RET,hybrid_arimax_svr,baseline_ar1,mse,test,-2.787944266393169,0.00554411293294832,423,True,-3.4068350865056902,0.0007218227454628412,413,True,True
HKDPHP_RET,hybrid_arimax_svr,baseline_mean,mse,test,-2.718757004546264,0.006822988116984119,423,True,-3.500320786802434,0.00051568789509715,411,True,True
HKDPHP_RET,hybrid_arimax_svr,baseline_rw,mse,test,-2.710375807973553,0.006994746404612728,423,True,-3.4908777980726438,0.0005337108851550809,411,True,True
HKDPHP_RET,hybrid_var_mlp,baseline_ar1,mse,test,-2.145032106548734,0.032520504864966604,423,True,-1.6051424199353026,0.10922866200396242,413,False,False
HKDPHP_RET,hybrid_var_mlp,baseline_mean,mse,test,-2.3029872031914986,0.02176513784217371,423,True,-1.4546812214595717,0.1465208048369242,412,False,False
HKDPHP_RET,hybrid_var_mlp,baseline_rw,mse,test,-2.295077017371101,0.022218616997610408,423,True,-1.455882173922396,0.1461886180696219,412,False,False
HKDPHP_RET,hybrid_var_svr,baseline_ar1,mse,test,-1.9241511256585475,0.05500781394106036,423,False,-1.1481555244525972,0.2515721894994396,412,False,True
HKDPHP_RET,hybrid_var_svr,baseline_mean,mse,test,-2.1680600228886306,0.030712367210547376,423,True,-0.6936227962140785,0.4883125212917423,410,False,False
HKDPHP_RET,hybrid_var_svr,baseline_rw,mse,test,-2.1615755481110734,0.0312125452800609,423,True,-0.6976385344806012,0.48579966756052073,410,False,False
HKDPHP_RET,hybrid_varx_mlp,baseline_ar1,mse,test,-3.0481111644607344,0.002447651812479412,423,True,-3.563864597676583,0.00040822724604661076,413,True,True
HKDPHP_RET,hybrid_varx_mlp,baseline_mean,mse,test,-2.8353299571334083,0.004797942507230424,423,True,-3.1414890609990564,0.0018025221622250953,412,True,True
HKDPHP_RET,hybrid_varx_mlp,baseline_rw,mse,test,-2.825314390541486,0.004947595363505641,423,True,-3.1371678748370972,0.0018286631741841752,412,True,True
HKDPHP_RET,hybrid_varx_svr,baseline_ar1,mse,test,-2.4929580425082243,0.013050699788059283,423,True,-2.373135111275241,0.01809693316105765,412,True,True
HKDPHP_RET,hybrid_varx_svr,baseline_mean,mse,test,-2.5391103182827517,0.011471572395385987,423,True,-2.0738418522045197,0.038719266894656545,410,True,True
HKDPHP_RET,hybrid_varx_svr,baseline_rw,mse,test,-2.5318194135997767,0.011709126945811388,423,True,-2.073976526286925,0.0387066894655963,410,True,True
HKDPHP_RET,var,baseline_ar1,mse,test,-1.8368431754681864,0.06693614788832103,423,False,-1.0455230792942467,0.2963928117565877,414,False,True
HKDPHP_RET,var,baseline_mean,mse,test,-2.5954654280355607,0.009775610984883443,423,True,-1.628429804595341,0.10419816988371933,413,False,False
HKDPHP_RET,var,baseline_rw,mse,test,-2.578664343355242,0.010256107634206701,423,True,-1.6266288308605152,0.10458050367717742,413,False,False
HKDPHP_RET,varx,baseline_ar1,mse,test,-4.172897752390773,3.653772592748794e-05,423,True,-4.205506971345949,3.1965985317183865e-05,414,True,True
HKDPHP_RET,varx,baseline_mean,mse,test,-3.4932095351938925,0.000527682042727351,423,True,-3.396328276934585,0.000749316232043995,413,True,True
HKDPHP_RET,varx,baseline_rw,mse,test,-3.4709081194764018,0.0005721677840841988,423,True,-3.3908675056820132,0.0007639881022445394,413,True,True
JPYPHP_RET,hybrid_arima_svr,arima,mse,test,-1.1381815324681441,0.2556904446424053,423,False,1.0340625976628928,0.30171055199051233,415,False,True
JPYPHP_RET,hybrid_arima_mlp,arima,mse,test,-2.333771140721726,0.020076401456021076,423,True,-1.0056081864205568,0.31519146690182787,415,False,False
JPYPHP_RET,hybrid_var_svr,var,mse,test,-1.3193004679099998,0.1877840430373927,423,False,-1.0351791425392003,0.3011866337658351,417,False,True
JPYPHP_RET,hybrid_var_mlp,var,mse,test,-2.57487386425733,0.010367386415860436,423,True,-2.1017697733897753,0.03617421133279253,417,True,True
JPYPHP_RET,arima,baseline_ar1,mse,test,-1.1526581324505045,0.2497032389790781,423,False,-1.0675362614644268,0.28635184887749254,415,False,True
JPYPHP_RET,arima,baseline_mean,mse,test,-3.904925400927045,0.00010971403606752084,423,True,-3.634084840492548,0.000314054512908557,415,True,True
JPYPHP_RET,arima,baseline_rw,mse,test,-3.953384376497009,9.033554659398924e-05,423,True,-3.662888479488664,0.0002817413312239392,415,True,True
JPYPHP_RET,arimax,baseline_ar1,mse,test,-2.844862127515343,0.0046593427529029174,423,True,-3.011317100329952,0.0027613328945468307,413,True,True
JPYPHP_RET,arimax,baseline_mean,mse,test,-4.239269339899147,2.7568793711241213e-05,423,True,-4.257608990459755,2.561454076821512e-05,413,True,True
JPYPHP_RET,arimax,baseline_rw,mse,test,-4.248698166369913,2.6479540938373347e-05,423,True,-4.2541902829494695,2.5992184929046758e-05,413,True,True
JPYPHP_RET,hybrid_arima_mlp,baseline_ar1,mse,test,-2.453302118504029,0.014558654599256426,423,True,-1.2666319491413358,0.20599906954071479,415,False,False
JPYPHP_RET,hybrid_arima_mlp,baseline_mean,mse,test,-3.626748174195162,0.0003221200510914457,423,True,-3.453332477222437,0.0006107852459251717,415,True,True
JPYPHP_RET,hybrid_arima_mlp,baseline_rw,mse,test,-3.660185512411034,0.00028399268114265297,423,True,-3.4778773383219197,0.0005589496721141174,415,True,True
JPYPHP_RET,hybrid_arima_svr,baseline_ar1,mse,test,-1.2162006725257095,0.2245883259045871,423,False,0.8089037150248405,0.41903514297535427,415,False,True
JPYPHP_RET,hybrid_arima_svr,baseline_mean,mse,test,-2.6701021472138757,0.007875664685052186,423,True,-2.2767869688599855,0.023308543981344743,415,True,True
JPYPHP_RET,hybrid_arima_svr,baseline_rw,mse,test,-2.6874304182429345,0.007485087993704953,423,True,-2.293858378755919,0.022298719570719605,415,True,True
JPYPHP_RET,hybrid_arimax_mlp,baseline_ar1,mse,test,-3.7240373592029057,0.00022267948074849997,423,True,-3.452139107083074,0.0006137030367665552,413,True,True
JPYPHP_RET,hybrid_arimax_mlp,baseline_mean,mse,test,-4.523561867532533,7.91451406856325e-06,423,True,-4.490436602833005,9.240469218463332e-06,413,True,True
JPYPHP_RET,hybrid_arimax_mlp,baseline_rw,mse,test,-4.536246285443373,7.474189211986726e-06,423,True,-4.485481572151623,9.447571312604097e-06,413,True,True
JPYPHP_RET,hybrid_arimax_svr,baseline_ar1,mse,test,-3.559262154077426,0.00041416606358657404,423,True,-3.2482243436021645,0.0012563951764952286,413,True,True
