Date,Pair,rolling_vol_252,rolling_autocorr_l1,rolling_lb_pvalue_l1,rolling_arch_pvalue
2019-07-23,USDPHP_RET,0.3736327239585024,-0.26751967057392173,2.1092897695716245e-05,0.5134222193958407
2019-07-24,USDPHP_RET,0.3733244300058302,-0.26482159790074655,2.542624547400214e-05,0.5072683114072314
2019-07-25,USDPHP_RET,0.3731839621137576,-0.2685204755525361,1.8708651259899136e-05,0.5136418235489224
2019-07-26,USDPHP_RET,0.37258507044757055,-0.27077782674375,1.545014158330938e-05,0.5186031310451609
2019-07-29,USDPHP_RET,0.3726747376141298,-0.26943138900735936,1.8074446399031228e-05,0.5037909275259654
2019-07-30,USDPHP_RET,0.37168091613429477,-0.2695876821483786,1.676943626537113e-05,0.49961210618530605
2019-07-31,USDPHP_RET,0.3723591045007304,-0.2689341353218797,1.9153245440847298e-05,0.5010056272343149
2019-08-01,USDPHP_RET,0.37137166383774145,-0.27878749397275177,9.34629003128248e-06,0.5090440803918634
2019-08-02,USDPHP_RET,0.3730708572435141,-0.2698316122093721,1.994476638506211e-05,0.5056616021583971
2019-08-05,USDPHP_RET,0.37469786797633736,-0.2499691464366168,7.355140968313272e-05,0.47851258026471377
2019-08-06,USDPHP_RET,0.3837470104977958,-0.21690702069458842,0.0007397120372426609,0.19196427064121943
2019-08-07,USDPHP_RET,0.38441712087275776,-0.22837621759398527,0.00027799407315452806,0.18486954653078286
2019-08-08,USDPHP_RET,0.386390036641973,-0.2343972930857939,0.00019815504770834117,0.14503390190233428
2019-08-09,USDPHP_RET,0.38922471339835224,-0.24358243104579283,0.0001142947752991868,0.3114903199789688
2019-08-12,USDPHP_RET,0.38926140414991117,-0.24476422234113873,9.326933637267856e-05,0.3211749704665684
2019-08-13,USDPHP_RET,0.38927408748737274,-0.24470037819258034,9.418832460537206e-05,0.32521188527210876
2019-08-14,USDPHP_RET,0.3893201687110016,-0.24495871180189793,9.271456674109497e-05,0.31894434209876105
2019-08-15,USDPHP_RET,0.3935703565780272,-0.2481417991862374,9.05844525633516e-05,0.4204113792199976
2019-08-16,USDPHP_RET,0.39403385834082727,-0.2333607419428467,0.00020264575519994896,0.42009118772822396
2019-08-19,USDPHP_RET,0.39522713036304236,-0.2380058688146553,0.00015165042979916243,0.38531143261189704
2019-08-20,USDPHP_RET,0.3953508806123475,-0.23936702612098018,0.00013334145602312395,0.37047164423037465
2019-08-21,USDPHP_RET,0.3954955229078675,-0.24117659638948116,0.00012000181618945205,0.3796366363841452
2019-08-22,USDPHP_RET,0.3953562213401385,-0.23953170797799755,0.00013179768349165893,0.369862885098011
2019-08-23,USDPHP_RET,0.39555120034069063,-0.2401276368778773,0.00014049994780499525,0.36543628966662833
2019-08-26,USDPHP_RET,0.3932388649141925,-0.23374753245555346,0.0001961739291071403,0.3764689473553999
2019-08-27,USDPHP_RET,0.39299193103485064,-0.2311692981122698,0.00023874065862527623,0.38539509081401313
2019-08-28,USDPHP_RET,0.39160660271722786,-0.22790756732280532,0.0002764139406429877,0.3923125280451314
2019-08-29,USDPHP_RET,0.3920620271732053,-0.22772768914113548,0.00028496422752985034,0.3916747883042458
2019-08-30,USDPHP_RET,0.3944056140438766,-0.2329897558118576,0.00021796322687341738,0.4053850910129109
2019-09-02,USDPHP_RET,0.3946262347205141,-0.23532310869177464,0.00017294449158088368,0.4257901124663792
2019-09-03,USDPHP_RET,0.3948751557527741,-0.2339162497862919,0.00018962213277199278,0.44905148939762396
2019-09-04,USDPHP_RET,0.3948214456951165,-0.23546611299067968,0.00017514731279247439,0.4335691579164527
2019-09-05,USDPHP_RET,0.3965790280799608,-0.23282448477446913,0.0002216626925981773,0.46242170313907693
2019-09-06,USDPHP_RET,0.39658978832472747,-0.22936006953978638,0.0002513682301579828,0.47128133905294367
2019-09-09,USDPHP_RET,0.39651068006190704,-0.22955658729762085,0.0002467429927068827,0.494478839594631
2019-09-10,USDPHP_RET,0.396543822798391,-0.22941627579960752,0.00024926194948703817,0.4704033724313794
2019-09-11,USDPHP_RET,0.3966152692031521,-0.23077908222074614,0.00024075670899064122,0.46006141528878
2019-09-12,USDPHP_RET,0.3958468554484385,-0.22709428923855943,0.0002958199538919654,0.4631875146217761
2019-09-13,USDPHP_RET,0.3965762380347232,-0.2324190968726422,0.00021831882950504604,0.4637675348829686
2019-09-16,USDPHP_RET,0.3962114855126531,-0.23156904753464183,0.00022421071602563575,0.4551690663419523
2019-09-17,USDPHP_RET,0.3964027537106037,-0.22841658384869776,0.00027329347635580064,0.5602359239077809
