response,shock,step,irf
HKDPHP_RET,HKDPHP_RET,3,-0.018188109913838776
HKDPHP_RET,HKDPHP_RET,4,0.004405661904183729
HKDPHP_RET,HKDPHP_RET,5,-0.0011295318739168736
HKDPHP_RET,HKDPHP_RET,6,0.0003066885263454898
HKDPHP_RET,HKDPHP_RET,7,-8.668473797397315e-05
HKDPHP_RET,HKDPHP_RET,8,2.497014845648899e-05
HKDPHP_RET,HKDPHP_RET,9,-7.2427787976815434e-06
HKDPHP_RET,HKDPHP_RET,10,2.104100916838953e-06
HKDPHP_RET,SGDPHP_RET,0,0.0
HKDPHP_RET,SGDPHP_RET,1,-0.277135660774566
HKDPHP_RET,SGDPHP_RET,2,0.11359174949679711
HKDPHP_RET,SGDPHP_RET,3,-0.03589376140624013
HKDPHP_RET,SGDPHP_RET,4,0.010620673044967603
HKDPHP_RET,SGDPHP_RET,5,-0.0030707440929155267
HKDPHP_RET,SGDPHP_RET,6,0.0008844436791622066
HKDPHP_RET,SGDPHP_RET,7,-0.00025518332167322194
HKDPHP_RET,SGDPHP_RET,8,7.379933353322955e-05
HKDPHP_RET,SGDPHP_RET,9,-2.137756399811896e-05
HKDPHP_RET,SGDPHP_RET,10,6.197795443674153e-06
SGDPHP_RET,USDPHP_RET,0,0.0
SGDPHP_RET,USDPHP_RET,1,0.013205344972468863
SGDPHP_RET,USDPHP_RET,2,0.010178796742961304
SGDPHP_RET,USDPHP_RET,3,-0.0009510439887968117
SGDPHP_RET,USDPHP_RET,4,0.0004879873606158869
SGDPHP_RET,USDPHP_RET,5,-0.000186357731162217
SGDPHP_RET,USDPHP_RET,6,6.177662015529683e-05
SGDPHP_RET,USDPHP_RET,7,-1.9045667113797768e-05
SGDPHP_RET,USDPHP_RET,8,5.652910429120057e-06
SGDPHP_RET,USDPHP_RET,9,-1.6504218231717497e-06
SGDPHP_RET,USDPHP_RET,10,4.789569283123801e-07
SGDPHP_RET,CNYPHP_RET,0,0.0
SGDPHP_RET,CNYPHP_RET,1,0.14740783520086456
SGDPHP_RET,CNYPHP_RET,2,-0.05711607651763743
SGDPHP_RET,CNYPHP_RET,3,0.017923314165205255
SGDPHP_RET,CNYPHP_RET,4,-0.005256406039240541
SGDPHP_RET,CNYPHP_RET,5,0.0015125647177926826
SGDPHP_RET,CNYPHP_RET,6,-0.00043471286080501507
SGDPHP_RET,CNYPHP_RET,7,0.0001253229928541531
SGDPHP_RET,CNYPHP_RET,8,-3.623630744175508e-05
SGDPHP_RET,CNYPHP_RET,9,1.049675501392925e-05
SGDPHP_RET,CNYPHP_RET,10,-3.043394252253024e-06
SGDPHP_RET,JPYPHP_RET,0,0.0
SGDPHP_RET,JPYPHP_RET,1,0.0649679979566342
SGDPHP_RET,JPYPHP_RET,2,-0.022561926780807005
SGDPHP_RET,JPYPHP_RET,3,0.007421452239525118
SGDPHP_RET,JPYPHP_RET,4,-0.0022900544355029077
SGDPHP_RET,JPYPHP_RET,5,0.0006797923484455163
SGDPHP_RET,JPYPHP_RET,6,-0.00019857323442377153
SGDPHP_RET,JPYPHP_RET,7,5.7645977512310084e-05
SGDPHP_RET,JPYPHP_RET,8,-1.6706284905494235e-05
SGDPHP_RET,JPYPHP_RET,9,4.841332637756055e-06
SGDPHP_RET,JPYPHP_RET,10,-1.4034345754276664e-06
SGDPHP_RET,HKDPHP_RET,0,0.0
SGDPHP_RET,HKDPHP_RET,1,-0.191885445895074
SGDPHP_RET,HKDPHP_RET,2,0.04437554767994563
SGDPHP_RET,HKDPHP_RET,3,-0.01480100735751057
SGDPHP_RET,HKDPHP_RET,4,0.004041554493802458
SGDPHP_RET,HKDPHP_RET,5,-0.0011117090202486758
SGDPHP_RET,HKDPHP_RET,6,0.000311951478173848
SGDPHP_RET,HKDPHP_RET,7,-8.895799359604836e-05
SGDPHP_RET,HKDPHP_RET,8,2.562771822260431e-05
SGDPHP_RET,HKDPHP_RET,9,-7.418780004373047e-06
SGDPHP_RET,HKDPHP_RET,10,2.1515286817255716e-06
SGDPHP_RET,SGDPHP_RET,0,1.0
SGDPHP_RET,SGDPHP_RET,1,-0.3392542705220059
SGDPHP_RET,SGDPHP_RET,2,0.11478344060461025
SGDPHP_RET,SGDPHP_RET,3,-0.0357278650207165
SGDPHP_RET,SGDPHP_RET,4,0.01060365181391613
SGDPHP_RET,SGDPHP_RET,5,-0.003093977347291139
SGDPHP_RET,SGDPHP_RET,6,0.0008972693388927086
SGDPHP_RET,SGDPHP_RET,7,-0.0002598743788708324
SGDPHP_RET,SGDPHP_RET,8,7.528660052097736e-05
SGDPHP_RET,SGDPHP_RET,9,-2.1821952358820613e-05
SGDPHP_RET,SGDPHP_RET,10,6.327525486088363e-06
