Date,USDIDR,CNYIDR,INRIDR,JPYIDR,SGDIDR,REF_RATE,TARGET_RATE,USDIDR_RET,CNYIDR_RET,INRIDR_RET,JPYIDR_RET,SGDIDR_RET,IR_DIFF_LAGGED
2025-05-27,16243.5,2254.8828868568703,190.74498291323593,113.86562082644225,12655.629571632293,4.33,0.0,0.2002804594970587,0.2002804594970587,0.2485313997120239,0.34878435890921256,0.29451680193538854,-4.33
2025-05-28,16279.0,2259.8109099112253,190.7088250827578,112.90982458695214,12636.620938061582,4.33,0.0,0.21831048719661347,0.2183104871965913,-0.018957907787774633,-0.8429500798622274,-0.15031194746694634,-4.33
2025-05-29,16286.0,2260.7826327670136,190.73406196252026,111.7799220581377,12588.894159640271,4.33,0.0,0.042990941856682036,0.042990941856682036,0.013232324238511794,-1.005753106384537,-0.3784012749427621,-4.33
2025-05-30,16293.0,2261.754355622802,190.87104409930362,113.31974218432698,12667.055440545171,4.33,0.0,0.04297246758782735,0.04297246758782735,0.07179261518830016,1.3681443285725228,0.6189553881420216,-4.33
2025-06-02,16322.0,2265.7800645967823,190.84634509981007,113.49302731229297,12655.656047239303,4.33,0.0,0.1778323326233211,0.1778323326233211,-0.012940987351844608,0.15280018145884877,-0.09003296571451785,-4.33
2025-06-03,16288.5,2261.129676644081,190.8129548581254,114.34378228856991,12677.454122877312,4.33,0.0,-0.20545537041232945,-0.20545537041232945,-0.017497407647880017,0.7468142938547983,0.17209162926549953,-4.33
2025-06-04,16332.400390625,2267.223821350988,190.55686404088152,113.54797272625625,12670.401639939322,4.33,0.0,0.26915515269137247,0.26915515269137247,-0.13430053614363482,-0.698412978650379,-0.05564559926457805,-4.33
2025-06-05,16291.5,2261.546129296562,189.64730988171465,114.14049136184794,12673.27839091298,4.33,0.0,-0.25073894637782035,-0.2507389463778092,-0.4784565539686326,0.5204655189692853,0.022701920025120365,-4.33
2025-06-06,16246.400390625,2264.306614458925,189.1811001572831,113.18220136153607,12631.12139871793,4.33,0.0,-0.2772129591337314,0.1219874203151363,-0.24613252197556276,-0.843114838590075,-0.333199218700015,-4.33
2025-06-09,16309.0,2268.7310263938643,190.11415440929608,112.7160683573023,12659.31811437059,4.33,0.0,0.3845732860054604,0.19520743882800573,0.49199462576685665,-0.4126934362054473,0.22298329233280098,-4.33
2025-06-10,16278.7998046875,2267.179128449643,189.82695590206944,112.62488280639273,12662.21755431514,4.33,0.0,-0.1853466888784271,-0.06842719329956645,-0.15118056674202407,-0.08093118930738866,0.022900980376234233,-4.33
2025-06-11,16247.7998046875,2262.861700025853,189.69373467713174,112.17912489992997,12634.173102168555,4.33,0.0,-0.19061328118171544,-0.19061328118171544,-0.0702049894598202,-0.3965752169817916,-0.22172699668474138,-4.33
2025-06-12,15778.0,2193.58245763254,184.60321040520773,109.4151971834682,12290.937956677506,4.33,0.0,-2.93409383012815,-3.109421850290394,-2.7202135801630463,-2.494712892746833,-2.754305432426027,-4.33
2025-06-13,16164.5,2247.3167471416655,188.64280286875575,112.8853162314071,12646.695486832987,4.33,0.0,2.4200915002307624,2.4200915002307837,2.1646581911943366,3.122260847907614,2.8533715356691034,-4.33
2025-06-16,16282.599609375,2267.4556582294845,188.7855170190153,113.00219460713737,12706.883136006323,4.33,0.0,0.7279549317049017,0.8921399730943216,0.07562450910074221,0.10348370808698787,0.4747871149280808,-4.33
2025-06-17,15801.0,2201.0029556066524,183.51020720636905,109.1764578870127,12333.064990131103,4.33,0.0,-3.002379982289249,-2.9745202068992525,-2.8341249014180727,-3.444178687255648,-2.985995967747579,-4.33
2025-06-18,16275.0,2265.2932712700594,188.44940851956565,111.9510731302117,12652.765762390132,4.33,0.0,2.955695892527097,2.8791084752061726,2.6559289998010374,2.5096475844648602,2.5591962436483997,-4.33
2025-06-19,15598.5,2169.833672923717,180.09296111258215,107.60925668629275,12136.455238777533,4.33,0.0,-4.245543230837287,-4.305371395019146,-4.535641284750434,-3.9555256087494985,-4.166207584107163,-4.33
2025-06-20,16390.0,2280.1891400937316,189.29637830266554,112.86479457249533,12755.856982988947,4.33,0.0,4.94966369694782,4.960787951465924,4.984075777989285,4.768392140644222,4.977678456270898,-4.33
2025-06-23,16431.0,2285.8930909627884,189.77758356286205,112.36869535599529,12736.715337408346,4.33,0.0,0.24984017139557113,0.24984017139557113,0.2538847650234924,-0.4405206516366395,-0.15017432479883758,-4.33
2025-06-24,16370.0,2280.2619064161067,189.8345143457352,112.1786134146812,12760.749452526019,4.33,0.0,-0.37194030866504163,-0.2466489816803664,0.02999418807441099,-0.16930239579165965,0.18852166232109305,-4.33
2025-06-25,16290.0,2271.554690090088,189.62851809557506,112.37815295357784,12725.468889468122,4.33,0.0,-0.48989687690897216,-0.382582503578067,-0.10857251051334955,0.17771861845220033,-0.27686010627687074,-4.33
2025-06-26,16290.0,2269.940301669063,189.40516235618725,112.41925148916503,12759.158747811738,4.33,0.0,0.0,-0.07109502452183418,-0.11785536576845003,0.036564956029603725,0.264393723530876,-4.33
2025-06-27,16222.7998046875,2263.383294247212,189.37179985226834,112.11798538512271,12720.871054789404,4.33,0.0,-0.41337744771137824,-0.2892805622944861,-0.017615909801203353,-0.2683441633266449,-0.3005312170865321,-4.33
2025-06-30,16229.0,2262.796091532309,189.91215428687798,112.29820845932232,12720.146778457509,4.33,0.0,0.03821171969047823,-0.025946948547462968,0.2849341736164313,0.1606150695776452,-0.005693768518527755,-4.33
2025-07-01,16230.0,2265.620647802546,189.3506380452357,112.86508800808822,12772.185879169085,4.33,0.0,0.006161619275493109,0.12474808742763445,-0.29610953844147336,0.5035285549518409,0.40827313605067445,-4.33
2025-07-02,16236.400390625,2266.229304855373,189.58278464332543,113.22297601200597,12758.949006751618,4.33,0.0,0.03942778152741652,0.026861306656003402,0.12252634010772245,0.316591947828981,-0.10369201104956523,-4.33
